지역,등록번호,학원명,학원종류,분야구분,학원주소,우편번호,등록상태,설립자,일시수용능력인원,정원합계,교습과정,교습과목,정원,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,총교습비(시간당),경도,위도
포항시,등1268,나다움미술학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 중앙로 273, , 702호 (상원동,상원동상가신축공사)",791090,개원,김지연,30,90,미술,미술(입시),9,0,0,0,0,0,0,0,400000,9756,129.3650349,36.03740443
포항시,2511,남수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 법원로 152, , 대왕프라자 301호 302호 (양덕동)",37572,개원,남소희,22,48,보습,수학초등,8,0,0,0,0,0,0,0,190000,9500,129.3874619,36.08830233
포항시,2587,김정석첼로음악학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 연일읍 연일로 154, , 2층 (연일읍, 삼도한솔타운2차)",37853,개원,김정석,6,20,음악,첼로고급,10,0,0,0,0,0,0,0,200000,8000,129.3435218,35.99755314
포항시,2043,나눔학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 대이로175번길 12-7, , 2층 (이동)",790320,개원,전우진,30,120,보습,"단과초등B(수학,과학,영어)",20,0,0,0,0,0,0,0,250000,8333,129.3374153,36.03042006
포항시,2072,꿈꾸소어학원,학교교과교습학원,국제화,"경상북도 포항시 북구 양덕로44번길 5, , 2층 (양덕동)",791270,개원,정효진,50,70,실용외국어(유아/초·중·고),영어(초등B),10,0,0,0,0,0,0,0,200000,11111,129.4027135,36.08262579
포항시,2097,나누기수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로44번길 3, , 2층 (양덕동)",791270,개원,장문선,20,60,보습,"초등종합(국,수,사,과)",40,0,0,0,0,0,0,0,200000,6667,129.4024605,36.0826518
포항시,1774,내가그린기린미술학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 양덕로50번길 8, , 3층 일부 (양덕동)",37592,개원,박고은,30,48,미술,미술(고급D),5,0,0,0,0,0,0,0,120000,8571,129.4028862,36.08288058
포항시,2382,나라앤숀영어학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 효성로 26, , 3층 (효자동)",37836,개원,박효정,30,36,보습,영어(초등),30,0,0,0,0,0,0,0,240000,9474,129.3364614,36.00619429
포항시,2580,남포항간호학원,평생직업교육학원,직업기술,"경상북도 포항시 남구 오천읍 해병로301번길 7, , 3층 (오천읍)",37909,개원,권우택,40,60,간호조무사,간호조무사과정(주간),30,0,0,0,0,0,0,0,2000000,1316,129.4130739,35.96783049
포항시,2171,나무스영수학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 우창동로 40, , 3층 일부(303호) (우현동)",37636,개원,이충우,29,120,보습,국어(고등),15,0,0,0,0,0,0,0,250000,13158,129.3630553,36.05544589
포항시,2161,눈높이러닝센터양덕학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로50번길 4-1, , 2층 (양덕동)",37592,개원,주식회사 대교,67,391,보통교과,프리스쿨국어(초등),10,0,0,0,0,0,0,0,0,0,129.4025555,36.08287727
포항시,2483,놀작부영아트미술학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 오천읍 남원로 86-22, , 2층 일부 (오천읍)",37881,개원,남효정,24,72,미술,미술 고급A,16,0,0,0,0,0,0,0,80000,6000,129.4004545,35.97139216
포항시,2675,눈높이러닝센터초곡학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 흥해읍 초곡지구로58번길 34-2, , 301호 (흥해읍)",37560,개원,주식회사 대교,53,300,보습,말하기영어1(초등),5,0,0,0,0,0,0,0,30000,8182,129.3363309,36.09665997
포항시,2011,나인에듀학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 우창동로 53, , 201호 (우현동)",37636,개원,목영관,30,90,보습,초등수학,30,0,0,0,0,0,0,0,200000,8571,129.3642202,36.05659023
포항시,등988,내가그린미술학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 연일읍 유강길9번길 56, , 1층 (연일읍,산호 늘 푸른 마을)",790885,개원,이지영,30,80,미술,초급A,20,0,0,0,0,0,0,0,130000,5714,129.3153793,36.00536972
포항시,2583,네추럴제이학원,평생직업교육학원,직업기술,"경상북도 포항시 북구 중흥로 147, , 2층 (죽도동)",37757,개원,김민정,15,114,이·미용,스킨플래닝,14,0,0,0,0,0,0,0,700000,140000,129.3536952,36.01769544
포항시,등993,뉴리더입시학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 흥해읍 중성로32번길 21, , 2층 (흥해읍)",37547,개원,임현정,50,60,보습,"영어,수학",10,0,0,0,0,0,0,0,200000,0,129.3468729,36.1067143
포항시,2235,눈높이러닝센터효자학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 효성로 27, , 2층 (효자동)",37836,개원,주식회사 대교,40,391,보습,국어(중등),15,0,0,0,0,0,0,0,40000,10000,129.3368853,36.00646684
포항시,등1632,눈높이러닝센터장성학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 용두산길 46,  3층 (두호동)",791804,개원,주식회사 대교,45,391,보습,통합논술(중등),10,0,0,0,0,0,0,0,0,0,129.3813952,36.06769118
포항시,2102,눈높이러닝센터원동학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 오천읍 남원로 85-91, , 3층 (오천읍)",37883,개원,주식회사 대교,94,391,보습,"써밋스피킹영어(초등,중등)",5,0,0,0,0,0,0,0,40000,8571,129.4009142,35.96630983
포항시,1742,늘푸른영수앤별별생각미술이학원,학교교과교습학원,종합(대),"경상북도 포항시 남구 오천읍 정몽주로 569, , 춘옥빌딩 2층 (오천읍)",37909,개원,김용환,80,250,보습,전과목국수사과(초등),40,0,0,0,0,0,0,0,170000,5667,129.4158715,35.96895914
포항시,2251,늘사랑음악학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 우창동로158번길 4, , 더원상가 205호 (창포동)",37633,개원,박영희,20,126,음악,피아노초급2,20,0,0,0,0,0,0,0,130000,5909,129.365464,36.06226457
포항시,등1269,다니엘학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 기계면 기계로 92-8, , 201호 (기계면, 삼오빌라)",37528,자진휴원(소),박태숙,25,50,보습,중등영어,10,0,0,0,0,0,0,0,150000,9375,129.2068059,36.07075128
포항시,2025,눈높이러닝센터창포학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 새천년대로1123번길 9, , 501호, 503호 (창포동, 창포주공2단지아파트)",37629,개원,주식회사 대교,96,391,보습,독해트레이닝(초등),10,0,0,0,0,0,0,0,0,0,129.3696307,36.06793679
포항시,2247,뉴욕어학원,학교교과교습학원,국제화,"경상북도 포항시 북구 이동로 48-2, , 4층 (득량동)",37694,개원,김예린,70,200,실용외국어(유아/초·중·고),영어A(외국인),15,0,0,0,0,0,0,0,218000,13540,129.3406146,36.03206058
포항시,2495,뉴베리대치동영어학원,학교교과교습학원,국제화,"경상북도 포항시 남구 효성로 14, , 3층일부 (효자동, 태인빌딩)",37836,개원,안수봉,30,30,실용외국어(유아/초·중·고),고등영어(한국인전담),10,0,0,0,0,0,0,0,350000,12346,129.3352787,36.00631112
포항시,등235,다른이점영학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 대곡로 57-22, , 3층  (두호동,화림빌딩)",791804,개원,정종훈,60,60,보습,수학고등,5,0,0,0,0,0,0,0,300000,12500,129.3727695,36.06862417
포항시,2071,다른앤공터학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로44번길 4-1, , 2층,3층 (양덕동)",37592,개원,정명훈,60,65,보습,초등영어,10,0,0,0,0,0,0,0,180000,7500,129.4025404,36.08235344
포항시,748,늘품학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 상대로 119, , 202호  (대도동,대도 아이펠리스 2차)",790823,개원,진규희,48,60,보습,초등수학,10,0,0,0,0,0,0,0,150000,9000,129.359951,36.01381334
포항시,2377,닥터수학과학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로 68, , 306호 307호 (양덕동, 풍림아이원아파트)",37591,개원,황인순,20,60,보습,중등수학,10,0,0,0,0,0,0,0,250000,11364,129.402356,36.08485449
포항시,2512,다옴컴퓨터그래픽학원,평생직업교육학원,직업기술,"경상북도 포항시 북구 중흥로 123, , 3층 일부 (죽도동)",37758,개원,김민성,25,100,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터인터넷입문1,10,0,0,0,0,0,0,0,150000,15000,129.3522537,36.01591257
포항시,2489,늘피아노음악학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 흥해읍 초곡지구로 80, , 포항지엔하임 301동 208호 (흥해읍)",37558,개원,최민영,10,80,음악,피아노초급B,10,0,0,0,0,0,0,0,140000,6000,129.3396902,36.09434456
포항시,등137,대덕입시학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 상공로56번길 7,   2층 (상도동)",790828,개원,서순목,40,40,보습,"중등수학,과학",40,0,0,0,0,0,0,0,200000,6667,129.3580911,36.01315703
포항시,2517,다니엘독서논술연구소책통클럽학원,학교교과교습학원,종합(대),"경상북도 포항시 남구 효성로30번길 10-5, , 3층 (효자동)",37836,개원,김옥영,42,102,보습,정독초등패키지,5,0,0,0,0,0,0,0,250000,9375,129.3365172,36.00579968
포항시,1786,대성초이스학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 대이로 112-1,   5층 (대잠동)",790826,개원,박성준,48,120,보습,초등 단과반,15,0,0,0,0,0,0,0,200000,8333,129.3412131,36.02522983
포항시,등1077,다솔학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 대이로159번길 3, , 4층 (이동, 탑정빌딩)",37676,개원,성준호,50,100,보습,한문,6,0,0,0,0,0,0,0,70000,0,129.3391448,36.02896602
포항시,1765,대성독서실,학교교과교습학원,독서실,"경상북도 포항시 북구 용당로147번길 5,  4층 (신흥동)",791010,개원,박성준,94,94,독서실(유아/초·중·고),학생(1월),42,0,0,0,0,0,0,0,110000,153,129.3630663,36.04021159
포항시,2688,다올학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 연일읍 철강로25번길 35-1, , 2층",37848,개원,이향정,16,80,보습,초등전과목,50,0,0,0,0,0,0,0,0,0,129.3462512,35.99483443
포항시,2357,단디독서실,학교교과교습학원,독서실,"경상북도 포항시 남구 대이로189번길 11-10, , 2층 3층 (이동)",37675,개원,홍미경,80,99,독서실(유아/초·중·고),일반(학생),16,0,0,0,0,0,0,0,110000,1528,129.3372365,36.03096164
포항시,2490,더공부독서실,학교교과교습학원,독서실,"경상북도 포항시 북구 우창로 10, , 3층 (우현동)",37641,개원,이애정,57,57,독서실(유아/초·중·고),학생 1인실,12,0,0,0,0,0,0,0,8000,333,129.3592856,36.05474911
포항시,등1603,달공수학전문학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로 44, 3층(양덕동)",791270,개원,이대영,40,180,보습,수학(초등),20,0,0,0,0,0,0,0,200000,8333,129.4021896,36.08260726
포항시,2575,더퀸즈발레학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 새마을로 100, , 가동 301호 (용흥동)",37645,개원,한현숙,20,32,무용,발레(중급),8,0,0,0,0,0,0,0,170000,6476,129.3501141,36.04181643
포항시,2343,대잠브이아이피영어훈련학원,학교교과교습학원,국제화,"경상북도 포항시 남구 대이로46번길 11-2, , 2층 (대잠동, 반석빌딩)",37681,개원,서경웅,60,200,실용외국어(유아/초·중·고),영어Ⅱ,100,0,0,0,0,0,0,0,200000,8333,129.3427824,36.020313
포항시,2622,달콤한피아노음악학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 오천읍 남원로 86-48, , 4층 (오천읍)",37881,개원,박연경,7,300,음악,피아노초급,250,0,0,0,0,0,0,0,150000,6000,129.400419,35.97257488
포항시,2619,대세입시학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로44번길 10, , 2층 (양덕동)",37592,개원,김종규,44,100,입시,수학중등,30,0,0,0,0,0,0,0,250000,11364,129.4029802,36.08236921
