"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","기 타-남","기 타-여","기 타-합계","기 타-비율","합계-남","합계-여","합계"
"경상북도교육청","경상북도교육청","경상북도 칠곡군","S150000802","동명고등학교","04","공립","N","","12","7","19","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","12","7","19"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000804","한국미래산업고등학교","04","사립","N","","15","88","103","99.0","1","0","1","1.0","0","0","0","0.0","0","0","0","0.0","16","88","104"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000805","동지고등학교","04","사립","N","","185","0","185","99.5","1","0","1","0.5","0","0","0","0.0","0","0","0","0.0","186","0","186"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000806","동지여자고등학교","04","사립","N","","0","188","188","99.5","0","1","1","0.5","0","0","0","0.0","0","0","0","0.0","0","189","189"
"경상북도교육청","경상북도교육청","경상북도 성주군","S150000810","명인고등학교","04","사립","N","","26","41","67","98.5","0","0","0","0.0","0","1","1","1.5","0","0","0","0.0","26","42","68"
"경상북도교육청","경상북도교육청","경상북도 청도군","S150000811","모계고등학교","04","사립","N","","61","53","114","97.4","1","2","3","2.6","0","0","0","0.0","0","0","0","0.0","62","55","117"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000812","무산고등학교","04","사립","N","","9","9","18","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","9","9","18"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000815","문경공업고등학교","04","공립","N","","43","3","46","95.8","1","0","1","2.1","1","0","1","2.1","0","0","0","0.0","45","3","48"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000816","문경여자고등학교","04","사립","N","","0","96","96","98.0","0","1","1","1.0","0","1","1","1.0","0","0","0","0.0","0","98","98"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000818","문명고등학교","04","사립","N","","155","0","155","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","155","0","155"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000819","문창고등학교","04","사립","N","","120","0","120","98.4","1","0","1","0.8","1","0","1","0.8","0","0","0","0.0","122","0","122"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000820","문화고등학교","04","사립","N","","187","0","187","96.4","4","0","4","2.1","3","0","3","1.5","0","0","0","0.0","194","0","194"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000822","경북소프트웨어마이스터고등학교","04","공립","N","","55","9","64","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","55","9","64"
"경상북도교육청","경상북도교육청","경상북도 봉화군","S150000823","봉화고등학교","04","공립","N","","52","34","86","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","52","34","86"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000838","삼성생활예술고등학교","04","사립","N","","12","54","66","98.5","1","0","1","1.5","0","0","0","0.0","0","0","0","0.0","13","54","67"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000840","상산전자고등학교","04","공립","N","","33","5","38","86.4","5","1","6","13.6","0","0","0","0.0","0","0","0","0.0","38","6","44"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000841","상주고등학교","04","사립","N","","132","0","132","98.5","0","0","0","0.0","0","0","0","0.0","2","0","2","1.5","134","0","134"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000842","상주공업고등학교","04","사립","N","","176","0","176","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","176","0","176"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000843","상주여자고등학교","04","공립","N","","0","102","102","99.0","0","1","1","1.0","0","0","0","0.0","0","0","0","0.0","0","103","103"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000844","우석여자고등학교","04","사립","N","","0","130","130","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","130","130"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000846","상지미래경영고등학교","04","사립","N","","19","49","68","89.5","4","4","8","10.5","0","0","0","0.0","0","0","0","0.0","23","53","76"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000847","선덕여자고등학교","04","사립","N","","0","183","183","98.9","0","0","0","0.0","0","1","1","0.5","0","1","1","0.5","0","185","185"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000850","선산고등학교","04","공립","N","","36","43","79","95.2","1","3","4","4.8","0","0","0","0.0","0","0","0","0.0","37","46","83"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000852","한국국제조리고등학교","04","사립","N","","32","57","89","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","32","57","89"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000853","동국대학교사범대학부속선화여자고등학교","04","사립","N","","0","57","57","91.9","0","2","2","3.2","0","2","2","3.2","0","1","1","1.6","0","62","62"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000855","성의고등학교","04","사립","N","","113","0","113","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","113","0","113"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000856","성의여자고등학교","04","사립","N","","0","77","77","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","77","77"
"경상북도교육청","경상북도교육청","경상북도 성주군","S150000864","성주고등학교","04","공립","N","","84","0","84","94.4","0","0","0","0.0","0","0","0","0.0","5","0","5","5.6","89","0","89"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000865","성창여자고등학교","04","사립","N","","0","14","14","53.8","0","12","12","46.2","0","0","0","0.0","0","0","0","0.0","0","26","26"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000866","성희여자고등학교","04","사립","N","","0","101","101","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","101","101"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000867","세명고등학교","04","사립","N","","90","104","194","99.5","0","0","0","0.0","0","1","1","0.5","0","0","0","0.0","90","105","195"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000868","세화고등학교","04","사립","N","","36","41","77","93.9","2","1","3","3.7","0","2","2","2.4","0","0","0","0.0","38","44","82"
"경상북도교육청","경상북도교육청","경상북도 영양군","S150000870","수비고등학교","04","공립","N","","2","2","4","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","2","2","4"
"경상북도교육청","경상북도교육청","경상북도 칠곡군","S150000874","순심고등학교","04","사립","N","","197","0","197","99.0","0","0","0","0.0","2","0","2","1.0","0","0","0","0.0","199","0","199"
"경상북도교육청","경상북도교육청","경상북도 칠곡군","S150000875","순심여자고등학교","04","사립","N","","0","146","146","98.6","0","1","1","0.7","0","1","1","0.7","0","0","0","0.0","0","148","148"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000879","신라고등학교","04","사립","N","","59","0","59","98.3","1","0","1","1.7","0","0","0","0.0","0","0","0","0.0","60","0","60"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000880","신라공업고등학교","04","사립","N","","183","0","183","92.0","2","0","2","1.0","0","0","0","0.0","14","0","14","7.0","199","0","199"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000882","경북과학기술고등학교","04","공립","N","","100","8","108","98.2","0","1","1","0.9","0","0","0","0.0","1","0","1","0.9","101","9","110"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000885","경주예일고등학교","04","사립","N","","50","61","111","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","50","61","111"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000886","안강전자고등학교","04","공립","N","","28","8","36","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","28","8","36"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000891","안동고등학교","04","공립","N","","131","0","131","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","131","0","131"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000893","경북하이텍고등학교","04","사립","N","","103","26","129","98.5","0","2","2","1.5","0","0","0","0.0","0","0","0","0.0","103","28","131"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000895","한국생명과학고등학교","04","공립","N","","78","52","130","97.7","1","0","1","0.8","0","2","2","1.5","0","0","0","0.0","79","54","133"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000896","안동여자고등학교","04","공립","N","","0","122","122","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","122","122"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000897","안동중앙고등학교","04","사립","N","","133","0","133","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","133","0","133"
"경상북도교육청","경상북도교육청","경상북도 칠곡군","S150000898","약목고등학교","04","공립","N","","42","37","79","96.3","0","0","0","0.0","2","0","2","2.4","1","0","1","1.2","45","37","82"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000901","영광고등학교","04","사립","N","","135","0","135","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","135","0","135"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000902","영광여자고등학교","04","사립","N","","0","156","156","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","156","156"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000903","영남삼육고등학교","04","사립","N","","27","21","48","94.1","0","0","0","0.0","0","3","3","5.9","0","0","0","0.0","27","24","51"
"경상북도교육청","경상북도교육청","경상북도 영덕군","S150000904","영덕여자고등학교","04","사립","N","","0","38","38","97.4","0","0","0","0.0","0","1","1","2.6","0","0","0","0.0","0","39","39"
"경상북도교육청","경상북도교육청","경상북도 영덕군","S150000905","영덕고등학교","04","공립","N","","55","0","55","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","55","0","55"
